Session: GSR_with_PCA,,,,,,,,,
Training Data: features_GSR_meme_table    Observations: 480,,,,,,,,,
"Predictors: 14    Predictor Names: max_gsr, min_gsr, mean_gsr, var_gsr, max_gsr_phas, min_gsr_phas, mean_gsr_phas, var_gsr_phas, rate_peaks_gsr, height_peaks_gsr, peaks_area_gsr, peaks_area_per_sec_gsr, peaks_rise_time, reg_coef_gsr",,,,,,,,,
"Response Name: misoginy    Response Classes: 2    Response Class Names: 1, 2",,,,,,,,,
Validation: 10-fold cross-validation,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Favorite,Model Number,Model Type,Status,Accuracy % (Validation),Total Cost (Validation),Preset,PCA,Costs,Optimizer Options
0,2.1,Tree,Trained,48.5416666666667,247,Fine Tree,70% explained variance,Default,Not applicable
0,2.2,Tree,Trained,56.6666666666667,208,Medium Tree,70% explained variance,Default,Not applicable
0,2.3,Tree,Trained,60.625,189,Coarse Tree,70% explained variance,Default,Not applicable
0,2.4,Discriminant,Trained,60.8333333333333,188,Linear Discriminant,70% explained variance,Default,Not applicable
0,2.5,Discriminant,Trained,60.4166666666667,190,Quadratic Discriminant,70% explained variance,Default,Not applicable
0,2.6,Binary GLM Logistic Regression,Trained,60.8333333333333,188,Binary GLM Logistic Regression,70% explained variance,Default,Not applicable
0,2.7,Efficient Logistic Regression,Trained,60.4166666666667,190,Efficient Logistic Regression,70% explained variance,Default,Not applicable
0,2.8,Efficient Linear SVM,Trained,61.0416666666667,187,Efficient Linear SVM,70% explained variance,Default,Not applicable
0,2.9,Naive Bayes,Trained,60.4166666666667,190,Gaussian Naive Bayes,70% explained variance,Default,Not applicable
0,2.10,Naive Bayes,Trained,59.7916666666667,193,Kernel Naive Bayes,70% explained variance,Default,Not applicable
0,2.11,SVM,Trained,45.8333333333333,260,Linear SVM,70% explained variance,Default,Not applicable
0,2.12,SVM,Trained,49.7916666666667,241,Quadratic SVM,70% explained variance,Default,Not applicable
